*FAT:	Irene tiene en este momento dieciséis meses y dieciséis días .
*MOT:	dile Pedrin ven !
*MOT:	ven (.) Pedrin !
*MOT:	que [//] (.) mama que ?
*MOT:	que dices de mama ?
*MOT:	no que (.) hija ?
*MOT:	no quieres este tito@f ?
*MOT:	no (.) otro tito@f no (.) Irene (.) <ahora acabamos sin mas tito@f (.) eh> [//] (.) ahora hay que acabar de cenar sin mas tito@f (.) otro tito@f no (.) venga !
*MOT:	a_ver (.) boca .
*MOT:	que miras ?
*MOT:	Irene (.) toma .
*MOT:	oye Irene .
*MOT:	bien sentada y ahí (.) mm ?
*MOT:	llamo a Pedrin eh (.) y si no a quien voy a llamar ?
*MOT:	a Pan ?
*MOT:	no (.) no llamo a Pan .
*MOT:	a_ver toma .
*MOT:	quieres que llame a Pan ?
*MOT:	a quien quieres que llame ?
*MOT:	a quien quieres que llame ?
*MOT:	<a Garfio> [//] (.) quieres que llame a Garfio ?
*MOT:	no (.) a quien quieres que llame ?
*MOT:	eh ?
*MOT:	<a quien &+quie> [//] a <Campanilla> [>] ?
*MOT:	a: (.) a Campanilla (.) quieres que llame a Campanilla ?
*MOT:	si (.) llamo a Campanilla (.) o quieres que llame al cocodrilo ?
*MOT:	llamo al cocodrilo Irene ?
*MOT:	eh ?
*MOT:	no (.) no lo llamo (.) como hace el cocodrilo (.) hija ?
*MOT:	ticto@o [/] ticto@o (.) <será un reloj> [?] .
*MOT:	bueno la ultima (.) venga (.) todo [/] (.) todo [/] (.) todo (.) se acabó !
*MOT:	y <esto que son> [//] que es esto (.) hija ?
*MOT:	que son (.) eh ?
*MOT:	<a_ver dime donde está la o@l> [//] (.) a_ver donde está la o@l ?
*MOT:	ahí (.) bien (.) ay (.) que te come el dedo la o@l !
*MOT:	y esa ?
*MOT:	la u@l muy bien !
*MOT:	y <cual es la a@l> [//] donde está la a@l ?
*MOT:	no (.) aquí hay una a también (.) no <donde está la a@l> [//] dime donde está la a@l ?
*MOT:	muy bien (.) bravo Irene !
*MOT:	hay otra a@l aquí (.) muy bien !
*MOT:	<que quieres> [<] [/] que quieres las letras ?
*MOT:	si ?
*MOT:	pero sin la taza [=! intentando quitarle la taza] porque si no no .
*MOT:	que letra es esta (.) Irene (.) que letra es esta [=! señalandola la madre] ?
*MOT:	no (.) esta ?
*MOT:	la a@l (.) muy bien !
*MOT:	y esta [=! señalando otra vocal de otra percha] (.) que letra es esta ?
*MOT:	esta ?
*MOT:	a también (.) muy bien !
*MOT:	donde está la o@l (.) a_ver (.) donde está la o@l ?
*MOT:	<ahí está la o@l> [% con tono musical] .
*MOT:	y esta ?
*MOT:	la u@l (.) <muy bien> [% con tono musical] (.) bravo !
*MOT:	<como le dices a papa cuando tira el agua> [/] como le dices a papi cuando tira el agua ?
*MOT:	bravo (.) muy bien !
*MOT:	<le tocas palmas> [//] aplaudes [//] le tocas palmitas a papi ?
*MOT:	mm .
*MOT:	no (.) esa no es la o@l (.) <cual es esta (.) hija> [=! señalando una letra en la percha] ?
*MOT:	cual es esta [=! señalando una letra en la percha] .
*MOT:	anda (.) estás comiendo la cuchara ?
*MOT:	0 &=rie .
*MOT:	que haces ?
*MOT:	oye <vamos a ver> [/] vamos a ver señorita (.) <para que es esto> [//] para que es [=! señalando la taza] ?
*MOT:	para que es esto ?
*MOT:	para el agua (.) entonces que estás haciendo ?
*MOT:	a_ver como suenan esos dientes ?
*MOT:	cuchara .
*MOT:	no que (.) dame la cuchara .
*MOT:	como que no (.) dame la cuchara (.) por_favor .
*MOT:	no ?
*MOT:	oye ?
*MOT:	ay (.) ay (.) ay !
*MOT:	<si eres mala que te tiene que hacer mama> [//] que te hace mama si eres mala ?
*MOT:	que te hace mama si eres mala ?
*MOT:	eh (.) que te hace mami si eres mala ?
*MOT:	<te pega una torta> [=! susurrando] .
*MOT:	<una torta> [=! susurrando] eh ?
*MOT:	<quieres que te pegue una torta> [% con tono musical] ?
*MOT:	quieres que te pegue una torta ?
*MOT:	donde te hago cosquillas ?
*MOT:	te hago cosquillas (.) donde ?
*MOT:	aquí [/] aquí te hago costillas [=! haciendole cosquillas en el cuello] !
*MOT:	quieres que te pegue una torta ?
*MOT:	como te pega mama una torta <cuando te portas mal> [?] ?
*MOT:	lo tiraste .
*MOT:	ahí la taza si (.) la tiraste tu .
*MOT:	torta [=! susurrnado] .
*MOT:	que ?
*MOT:	torta (.) vas a pegar tu una torta a mama ?
*MOT:	a_ver como pegas una tortita a mama (.) a_ver (.) a: (.) vas a pegar +//.
*MOT:	oy (.) oy (.) oy (.) le pegas una torta a mama !
*MOT:	por que (.) porque te da mal el yoghourt ?
*MOT:	ay (.) y como dice mama cuando te da mal el yoghourt ?
*MOT:	que mas ?
*MOT:	como [/] como [/] como dice mama cuando te da mal el yoghourt ?
*MOT:	perdón &=rie !
*MOT:	ay (.) y que mas te dice mama cuando te da mal el yoghourt ?
*MOT:	perdón &=rie !
*MOT:	bueno hale (.) vamos (.) acabamos (.) <ahora que es> [/] <ahora que es lo que vamos a hacer después de cenar> [//] ahora que es lo que vamos a hacer ?
*MOT:	no (.) ya cenamos (.) ham@s [= jamón] !
*MOT:	y <ahora que hay que hacer> [//] que hay que hacer ahora ?
*MOT:	a_ver como cierras <los ojitos> [% con tono musical] .
*MOT:	que ?
*MOT:	ahora como vas a dormir (.) dile a papa como vas a dormir ?
*MOT:	así (.) pues eso ahora a dormir .
*MOT:	venga papa .
*MOT:	dile tu +"/.
*MOT:	+" papa ya está !
*MOT:	oye Irene (.) a_ver dime como es papa ?
*MOT:	y como es mama ?
*MOT:	como es mama ?
*MOT:	guapa (.) y como es Pedrin ?
*MOT:	y como es Pedrin ?
*MOT:	es guapo (.) y como es Tita_Tina ?
*MOT:	como es Tita_Tina [=! riendose] ?
*MOT:	no (.) como es Tita_Tina ?
*MOT:	es guapa (.) y como es Bea ?
*MOT:	Bea es guapa también (.) y como es el humo ?
*MOT:	el humo es guapo (.) y el patito ?
*MOT:	<es guapo> [% con tono musical] (.) y como es la caja ?
*MOT:	como es la caja ?
*MOT:	la caja ?
*MOT:	la caja es guapa .
*MOT:	y como es (.) Lili ?
*MOT:	tonta no [>] &=rie .
*MOT:	como es Lili cariño ?
*MOT:	es guapo Lili (.) como es Lili ?
*MOT:	Lili es guapo .
*MOT:	y como es Pedrin ?
*MOT:	Pedrin es guapo (.) y como es Alba ?
*MOT:	como es Alba ?
*MOT:	guapa &=rie .
*MOT:	muy bien (.) y como es Cuci ?
*MOT:	y Reyes ?
*MOT:	Reyes es guapa (.) y Juan ?
*MOT:	como es Juan (.) cariño !
*MOT:	Juan es guapa (.) si ?
*MOT:	y papa ?
*MOT:	papa es +//.
*MOT:	y Pedrin ?
*MOT:	<muy bien> [% riendo] .
*MOT:	Irene [//] <como es Irene> [/] (.) como es Irene ?
*MOT:	guapa (.) muy bien !
